path,class
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/20181212_122859.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_de_las_pesas_granada.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_atarazanas_malaga4.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5bcdf82621374.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5d0383b7abaf0.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/dintel_adovelado2.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5db444d933327.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5dd41b35bc692.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5db2c2e015c8c.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5e4fb7d4eb466.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/patio_doncella_reales_alcazares_sevilla6.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_justicia_granada2.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5db2e772b2a7e.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/medina_azahara29.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/corral_carbon_granada11.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/medina_azahara2.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5c1b60d5c92de.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/corral_carbon_granada6.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/20181212_112635.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/patio_doncella_reales_alcazares_sevilla2.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/alcazaba_malaga2.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5bad538f2022e.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/dintel_adovelado7.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/20181212_150254.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5bafb615991d4.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5c45b1ab7eacc.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/aljibe_san_miguel_bajo.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5e5245bcb4ee4.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5e4fb9bc9e1ae.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/20181212_115637.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5bec1e6a04058.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_del_vino_granada8.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_de_las_pesas_granada2.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5b8ecd7349a8e.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5db2bfe305c0b.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/20181212_125945.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_de_las_pesas_granada6.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_atarazanas_malaga6.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/medina_azahara3.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5bccb0f95a19f.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/patio_yeso_reales_alcazares_sevilla5.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/20181212_115640.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/dintel_adovelado3.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/20181212_113415.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/20181212_112853.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5baf1bc3da161.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5c8b7b494b579.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_visires_mezquita_cordoba4.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_del_vino_granada3.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/20181212_130052.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/medina_azahara14.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_de_las_pesas_granada5.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/medina_azahara13.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/patio_doncella_reales_alcazares_sevilla3.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5bb0a6a0a9219.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5bd35122f11d2.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5bacbaeb59ca4.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5dd41a8a19a4a.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/20181212_113410.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_monaita_granada.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/20181212_115633.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_del_vino_granada2.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/corralcarbon.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_justicia_granada4.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5bae5ad571fb8.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_del_vino_granada11.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_atarazanas_malaga8.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/20181212_115543.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_de_las_pesas_granada7.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_visires_mezquita_cordoba.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_elvira_granada4.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/20181212_145535.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/20181212_105442.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/medina_azahara35.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5bbcca54787e1.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/patio_yeso_reales_alcazares_sevilla4.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_san_isidro_mezquita_cordoba4.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5baf14eb92e6d.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5de6aa806cbef.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5bbcca8260a77.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5bae5eef7467f.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/patio_doncella_reales_alcazares_sevilla4.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5bd579c5023a7.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5bd3504ad94ce.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5da4ceed0c3d9.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_visires_mezquita_cordoba3.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/medina_azahara17.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/patio_doncella_reales_alcazares_sevilla7.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/medina_azahara16.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5be02ea10d427.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5bd1dff352ca4.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5e4fb912bf15b.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/ermita_sansebastian3.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5bae5a9241e08.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5b8ecf08e1e7f.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5c7026209438f.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/corral_carbon_granada4.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_san_isidro_mezquita_cordoba.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5c7bc23b3c8df.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5bb0d93bcd653.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5c0bb6ad8a829.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/patio_doncella_reales_alcazares_sevilla5.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/medina_azahara26.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/medina_azahara7.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_de_las_pesas_granada4.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5de6b189c985e.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5baf19070489a.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_atarazanas_malaga.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5be5e804a3167.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5baf14b3d8aec.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/puerta_del_vino_granada.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5bc770cef1fc2.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5bec3b4e60282.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/5bcc9ce820ba1.xml,01.musulman
../Data/Dataset-IGRB1092_14cls/01.musulman/xml/corral_carbon_granada3.xml,01.musulman
